uc_fqn,column,deployed_comment,signals
main.etoro_kpi_prep.v_trading_volume_positionlevel,positionid,Primary key. Allocated by Internal.GetPositionID_Bigint. Unique per position. (Tier 1 — Trade.PositionTbl) (via Dim_Position). Source: DWH_dbo.Dim_Position.Posi,"SIBLING_PHRASES: ['ActionNumber', 'ActionTypeID', 'AggregatedCommission', 'BETWEEN', 'CLUSTERED', 'COALESCE'] || HEADING_ANCHOR: ['_index: Batch 98 (COMPLETE) -- EU/UK custody reconciliation (5 tables from SP_BI_D', '_index: Batch 87 (COMPLETE) -- EOD USD conversion rates (6 cols, 17.6M rows) + EOM']"
main.etoro_kpi_prep.v_revenue_commission,positionid,"Position identifier from the source trading system. NOT a primary key of this table — defaults to 0 for non-position events, and the same PositionID appears in ","SIBLING_PHRASES: ['ActionNumber', 'ActionTypeID', 'AggregatedCommission', 'BETWEEN', 'CLUSTERED', 'COALESCE'] || HEADING_ANCHOR: ['_index: Batch 98 (COMPLETE) -- EU/UK custody reconciliation (5 tables from SP_BI_D', '_index: Batch 87 (COMPLETE) -- EOD USD conversion rates (6 cols, 17.6M rows) + EOM']"
main.etoro_kpi_prep.v_revenue_fullcommission,positionid,"Position identifier from the source trading system. NOT a primary key of this table — defaults to 0 for non-position events, and the same PositionID appears in ","SIBLING_PHRASES: ['ActionNumber', 'ActionTypeID', 'AggregatedCommission', 'BETWEEN', 'CLUSTERED', 'COALESCE'] || HEADING_ANCHOR: ['_index: Batch 98 (COMPLETE) -- EU/UK custody reconciliation (5 tables from SP_BI_D', '_index: Batch 87 (COMPLETE) -- EOD USD conversion rates (6 cols, 17.6M rows) + EOM']"
main.etoro_kpi_prep.tvf_pnl_single_day,positionid,Primary key. Allocated by Internal.GetPositionID_Bigint. Unique per position. (Tier 1 — Trade.PositionTbl) (via Dim_Position). Source: . (T1 — Function_PnL_Sing,"SIBLING_PHRASES: ['ActionNumber', 'ActionTypeID', 'AggregatedCommission', 'BETWEEN', 'CLUSTERED', 'COALESCE'] || HEADING_ANCHOR: ['_index: Batch 98 (COMPLETE) -- EU/UK custody reconciliation (5 tables from SP_BI_D', '_index: Batch 87 (COMPLETE) -- EOD USD conversion rates (6 cols, 17.6M rows) + EOM']"
main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_liabilities,aum,Assets Under Management. Formula: TotalMirrorPositionAmount + TotalCash - Credit. For MERGE INSERT: computed as TotalMirrorPositionsAmount + TotalMirrorCash. Co,"SIBLING_PHRASES: ['AUMEnd', 'AUMIncUnPnL', 'AUMStart', 'AccountEquity', 'AccountManager', 'AccountManagerID'] || HEADING_ANCHOR: ['_index: Batch 102 (COMPLETE) -- Risk (PayPal depositors + daily risk aggregation +', '_index: Batch 97 (COMPLETE) -- OPS multiple accounts + VL2 stuck + verification pi']"
main.etoro_kpi_prep.v_trading_volume_and_amount,cid,GROUP BY customer from position events. Source: DWH_dbo.Dim_Position.CID. (T2 — Function_Trading_Volume),"SIBLING_PHRASES: ['AMLComment', 'AMLEntity', 'AMLSubEntity', 'AccountEquity', 'AccountId', 'AccountManager'] || HEADING_ANCHOR: ['_index: Batch 102 (COMPLETE) -- Risk (PayPal depositors + daily risk aggregation +', '_index: Batch 99 (COMPLETE) -- Professional customers (approved + documents + pend']"
main.etoro_kpi_prep.v_trading_volume_positionlevel,cid,Direct from union row. Source: DWH_dbo.Dim_Position.CID. (T2 — Function_Trading_Volume_PositionLevel),"SIBLING_PHRASES: ['AMLComment', 'AMLEntity', 'AMLSubEntity', 'AccountEquity', 'AccountId', 'AccountManager'] || HEADING_ANCHOR: ['_index: Batch 102 (COMPLETE) -- Risk (PayPal depositors + daily risk aggregation +', '_index: Batch 99 (COMPLETE) -- Professional customers (approved + documents + pend']"
main.etoro_kpi_prep.v_revenue_adminfee,positionid,Position identifier. Allocated by Internal.GetPositionID_Bigint. Unique per position. HASH distribution key. DWH note: for ActionTypeID=36 + CompensationReasonI,"SIBLING_PHRASES: ['ActionNumber', 'AggregatedCommission', 'BETWEEN', 'CLUSTERED', 'COLUMNSTORE', 'COMPLETE'] || HEADING_ANCHOR: ['_index: Batch 98 (COMPLETE) -- EU/UK custody reconciliation (5 tables from SP_BI_D', '_index: Batch 87 (COMPLETE) -- EOD USD conversion rates (6 cols, 17.6M rows) + EOM']"
main.etoro_kpi_prep.v_revenue_adminfee,playerlevelid,"Account tier: 4=demo, other values=real tiers. DEFAULT 0. FK to Dim_PlayerLevel. Passthrough from Fact_SnapshotCustomer at action date via SCD JOIN. (Tier 2 — D","SIBLING_PHRASES: ['AccountManager', 'AccountStatusID', 'AccountTypeID', 'ActualNWA', 'AffiliateCampaign', 'AffiliateID'] || HEADING_ANCHOR: ['BI_DB_ChargebackReport.review-needed: S2. PlayerLevelID != 4 and LabelID != 26', 'BI_DB_ClubChangeLog.review-needed: RN-2 — PlayerLevelID Non-Sequential IDs']"
main.etoro_kpi_prep.v_revenue_commission,playerlevelid,"Account tier: 4=demo, other values=real tiers. DEFAULT 0. Source: Ext_FSC_Real_Customer_Customer.PlayerLevelID (CC). FK to Dim_PlayerLevel. Critical for IsValid","SIBLING_PHRASES: ['AccountManager', 'AccountStatusID', 'AccountTypeID', 'ActualNWA', 'AffiliateCampaign', 'AffiliateID'] || HEADING_ANCHOR: ['BI_DB_ChargebackReport.review-needed: S2. PlayerLevelID != 4 and LabelID != 26', 'BI_DB_ClubChangeLog.review-needed: RN-2 — PlayerLevelID Non-Sequential IDs']"
main.etoro_kpi_prep.v_revenue_fullcommission,playerlevelid,"Account tier: 4=demo, other values=real tiers. DEFAULT 0. Source: Ext_FSC_Real_Customer_Customer.PlayerLevelID (CC). FK to Dim_PlayerLevel. Critical for IsValid","SIBLING_PHRASES: ['AccountManager', 'AccountStatusID', 'AccountTypeID', 'ActualNWA', 'AffiliateCampaign', 'AffiliateID'] || HEADING_ANCHOR: ['BI_DB_ChargebackReport.review-needed: S2. PlayerLevelID != 4 and LabelID != 26', 'BI_DB_ClubChangeLog.review-needed: RN-2 — PlayerLevelID Non-Sequential IDs']"
main.etoro_kpi_prep.v_revenue_rollover,positionid,Position identifier. Allocated by Internal.GetPositionID_Bigint. Unique per position. HASH distribution key. DWH note: for ActionTypeID=36 + CompensationReasonI,"SIBLING_PHRASES: ['ActionNumber', 'AggregatedCommission', 'BETWEEN', 'CLUSTERED', 'COLUMNSTORE', 'COMPLETE'] || HEADING_ANCHOR: ['_index: Batch 98 (COMPLETE) -- EU/UK custody reconciliation (5 tables from SP_BI_D', '_index: Batch 87 (COMPLETE) -- EOD USD conversion rates (6 cols, 17.6M rows) + EOM']"
main.etoro_kpi_prep.v_revenue_rollover,playerlevelid,"Account tier: 4=demo, other values=real tiers. DEFAULT 0. FK to Dim_PlayerLevel. Passthrough from Fact_SnapshotCustomer at action date via SCD JOIN. (Tier 2 — D","SIBLING_PHRASES: ['AccountManager', 'AccountStatusID', 'AccountTypeID', 'ActualNWA', 'AffiliateCampaign', 'AffiliateID'] || HEADING_ANCHOR: ['BI_DB_ChargebackReport.review-needed: S2. PlayerLevelID != 4 and LabelID != 26', 'BI_DB_ClubChangeLog.review-needed: RN-2 — PlayerLevelID Non-Sequential IDs']"
main.etoro_kpi_prep.v_revenue_dividend,positionid,Position identifier. Allocated by Internal.GetPositionID_Bigint. Unique per position. HASH distribution key. DWH note: for ActionTypeID=36 + CompensationReasonI,"SIBLING_PHRASES: ['ActionNumber', 'AggregatedCommission', 'BETWEEN', 'CLUSTERED', 'COLUMNSTORE', 'COMPLETE'] || HEADING_ANCHOR: ['_index: Batch 98 (COMPLETE) -- EU/UK custody reconciliation (5 tables from SP_BI_D', '_index: Batch 87 (COMPLETE) -- EOD USD conversion rates (6 cols, 17.6M rows) + EOM']"
main.etoro_kpi_prep.v_revenue_dividend,playerlevelid,"Account tier: 4=demo, other values=real tiers. DEFAULT 0. FK to Dim_PlayerLevel. Passthrough from Fact_SnapshotCustomer at action date via SCD JOIN. (Tier 2 — D","SIBLING_PHRASES: ['AccountManager', 'AccountStatusID', 'AccountTypeID', 'ActualNWA', 'AffiliateCampaign', 'AffiliateID'] || HEADING_ANCHOR: ['BI_DB_ChargebackReport.review-needed: S2. PlayerLevelID != 4 and LabelID != 26', 'BI_DB_ClubChangeLog.review-needed: RN-2 — PlayerLevelID Non-Sequential IDs']"
main.etoro_kpi_prep.v_revenue_stakingfee,cid,Client account ID. (Tier 2) (via Dealing_Staking_Results). Source: Dealing_Staking_Results.CID. (T2 — Function_Revenue_StakingFee),"SIBLING_PHRASES: ['AMLComment', 'AMLEntity', 'AMLSubEntity', 'AccountEquity', 'AccountId', 'AccountManager'] || HEADING_ANCHOR: ['_index: Batch 102 (COMPLETE) -- Risk (PayPal depositors + daily risk aggregation +', '_index: Batch 99 (COMPLETE) -- Professional customers (approved + documents + pend']"
main.etoro_kpi_prep.v_revenue_stakingfee,playerlevelid,"Account tier: 4=demo, other values=real tiers. DEFAULT 0. Source: Ext_FSC_Real_Customer_Customer.PlayerLevelID (CC). FK to Dim_PlayerLevel. Critical for IsValid","SIBLING_PHRASES: ['AccountManager', 'AccountStatusID', 'AccountTypeID', 'ActualNWA', 'AffiliateCampaign', 'AffiliateID'] || HEADING_ANCHOR: ['BI_DB_ChargebackReport.review-needed: S2. PlayerLevelID != 4 and LabelID != 26', 'BI_DB_ClubChangeLog.review-needed: RN-2 — PlayerLevelID Non-Sequential IDs']"
main.etoro_kpi_prep.v_revenue_transfercoinfee,playerlevelid,"Account tier: 4=demo, other values=real tiers. DEFAULT 0. Source: Ext_FSC_Real_Customer_Customer.PlayerLevelID (CC). FK to Dim_PlayerLevel. Critical for IsValid","SIBLING_PHRASES: ['AccountManager', 'AccountStatusID', 'AccountTypeID', 'ActualNWA', 'AffiliateCampaign', 'AffiliateID'] || HEADING_ANCHOR: ['BI_DB_ChargebackReport.review-needed: S2. PlayerLevelID != 4 and LabelID != 26', 'BI_DB_ClubChangeLog.review-needed: RN-2 — PlayerLevelID Non-Sequential IDs']"
main.etoro_kpi_prep.tvf_pnl_single_day,cid,Customer ID. References Customer.Customer. (Tier 1 — Trade.PositionTbl) (via Dim_Position). Source: . (T1 — Function_PnL_Single_Day),"SIBLING_PHRASES: ['AMLComment', 'AMLEntity', 'AMLSubEntity', 'AccountEquity', 'AccountId', 'AccountManager'] || HEADING_ANCHOR: ['_index: Batch 102 (COMPLETE) -- Risk (PayPal depositors + daily risk aggregation +', '_index: Batch 99 (COMPLETE) -- Professional customers (approved + documents + pend']"
main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_liabilities,cid,Customer ID. Grouping key for all equity aggregations. FK to Dim_Customer (CID = RealCID). HASH distribution key and part of PK. (Tier 2 — SP_Fact_SnapshotEquit,"SIBLING_PHRASES: ['AMLComment', 'AMLEntity', 'AMLSubEntity', 'AccountEquity', 'AccountId', 'AccountManager'] || HEADING_ANCHOR: ['_index: Batch 102 (COMPLETE) -- Risk (PayPal depositors + daily risk aggregation +', '_index: Batch 99 (COMPLETE) -- Professional customers (approved + documents + pend']"
main.etoro_kpi_prep.v_trading_volume_and_amount,instrumentid,GROUP BY. Source: DWH_dbo.Dim_Position.InstrumentID. (T1 — Function_Trading_Volume),"SIBLING_PHRASES: ['AccountId', 'AccountStatus', 'AccountType', 'AirDrop', 'AllowSell', 'AmountInUni'] || HEADING_ANCHOR: ['BI_DB_Daily_TradeData: Regional activity for a specific instrument (Unilever, InstrumentID=2093)', 'BI_DB_EquitiesWithSustainabilityStamp: 2.1 ISIN-to-InstrumentID Resolution']"
main.etoro_kpi_prep.v_trading_volume_positionlevel,instrumentid,FK to Trade.Instrument. Financial instrument being traded. (Tier 1 — Trade.PositionTbl) (via Dim_Position). Source: DWH_dbo.Dim_Position.InstrumentID. (T1 — Fun,"SIBLING_PHRASES: ['AccountId', 'AccountStatus', 'AccountType', 'AirDrop', 'AllowSell', 'AmountInUni'] || HEADING_ANCHOR: ['BI_DB_Daily_TradeData: Regional activity for a specific instrument (Unilever, InstrumentID=2093)', 'BI_DB_EquitiesWithSustainabilityStamp: 2.1 ISIN-to-InstrumentID Resolution']"
main.etoro_kpi_prep.v_revenue_adminfee,instrumentid,Tradeable instrument pair identifier. FK to Dim_Instrument. COALESCE from Dim_Position over Fact_CustomerAction. (Tier 1 — Trade.Instrument) (via BI_DB_Fact_Cus,"SIBLING_PHRASES: ['AccountId', 'AccountStatus', 'AccountType', 'AirDrop', 'AllowSell', 'AmountInUni'] || HEADING_ANCHOR: ['BI_DB_Daily_TradeData: Regional activity for a specific instrument (Unilever, InstrumentID=2093)', 'BI_DB_EquitiesWithSustainabilityStamp: 2.1 ISIN-to-InstrumentID Resolution']"
main.etoro_kpi_prep.v_revenue_commission,instrumentid,FK to Trade.Instrument. Financial instrument being traded when row is instrument-bearing. (Tier 1 — Trade.PositionTbl) (via Fact_CustomerAction). Source: Fact_C,"SIBLING_PHRASES: ['AccountId', 'AccountStatus', 'AccountType', 'AirDrop', 'AllowSell', 'AmountInUni'] || HEADING_ANCHOR: ['BI_DB_Daily_TradeData: Regional activity for a specific instrument (Unilever, InstrumentID=2093)', 'BI_DB_EquitiesWithSustainabilityStamp: 2.1 ISIN-to-InstrumentID Resolution']"
main.etoro_kpi_prep.v_revenue_fullcommission,instrumentid,FK to Trade.Instrument. Financial instrument being traded when row is instrument-bearing. (Tier 1 — Trade.PositionTbl) (via Fact_CustomerAction). Source: Fact_C,"SIBLING_PHRASES: ['AccountId', 'AccountStatus', 'AccountType', 'AirDrop', 'AllowSell', 'AmountInUni'] || HEADING_ANCHOR: ['BI_DB_Daily_TradeData: Regional activity for a specific instrument (Unilever, InstrumentID=2093)', 'BI_DB_EquitiesWithSustainabilityStamp: 2.1 ISIN-to-InstrumentID Resolution']"
main.etoro_kpi_prep.v_revenue_rollover,instrumentid,Tradeable instrument pair identifier. FK to Dim_Instrument. COALESCE from Dim_Position over Fact_CustomerAction. (Tier 1 — Trade.Instrument) (via BI_DB_Fact_Cus,"SIBLING_PHRASES: ['AccountId', 'AccountStatus', 'AccountType', 'AirDrop', 'AllowSell', 'AmountInUni'] || HEADING_ANCHOR: ['BI_DB_Daily_TradeData: Regional activity for a specific instrument (Unilever, InstrumentID=2093)', 'BI_DB_EquitiesWithSustainabilityStamp: 2.1 ISIN-to-InstrumentID Resolution']"
main.etoro_kpi_prep.v_revenue_dividend,instrumentid,Tradeable instrument pair identifier. FK to Dim_Instrument. COALESCE from Dim_Position over Fact_CustomerAction. (Tier 1 — Trade.Instrument) (via BI_DB_Fact_Cus,"SIBLING_PHRASES: ['AccountId', 'AccountStatus', 'AccountType', 'AirDrop', 'AllowSell', 'AmountInUni'] || HEADING_ANCHOR: ['BI_DB_Daily_TradeData: Regional activity for a specific instrument (Unilever, InstrumentID=2093)', 'BI_DB_EquitiesWithSustainabilityStamp: 2.1 ISIN-to-InstrumentID Resolution']"
main.etoro_kpi_prep.v_revenue_stakingfee,instrumentid,Crypto instrument. (Tier 2) (via Dealing_Staking_Results). Source: Dealing_Staking_Results.InstrumentID. (T1 — Function_Revenue_StakingFee),"SIBLING_PHRASES: ['AccountId', 'AccountStatus', 'AccountType', 'AirDrop', 'AllowSell', 'AmountInUni'] || HEADING_ANCHOR: ['BI_DB_Daily_TradeData: Regional activity for a specific instrument (Unilever, InstrumentID=2093)', 'BI_DB_EquitiesWithSustainabilityStamp: 2.1 ISIN-to-InstrumentID Resolution']"
main.etoro_kpi_prep.tvf_pnl_single_day,instrumentid,FK to Trade.Instrument. Financial instrument being traded. (Tier 1 — Trade.PositionTbl) (via Dim_Position). Source: . (T1 — Function_PnL_Single_Day),"SIBLING_PHRASES: ['AccountId', 'AccountStatus', 'AccountType', 'AirDrop', 'AllowSell', 'AmountInUni'] || HEADING_ANCHOR: ['BI_DB_Daily_TradeData: Regional activity for a specific instrument (Unilever, InstrumentID=2093)', 'BI_DB_EquitiesWithSustainabilityStamp: 2.1 ISIN-to-InstrumentID Resolution']"
main.etoro_kpi_prep.v_dim_instrument_enriched,instrumentid,Primary key from Trade.Instrument. Identifies the tradeable instrument pair. (Tier 1 — Trade.GetInstrument) (via Dim_Instrument). Source: etig.InstrumentID. (T1,"SIBLING_PHRASES: ['AccountId', 'AccountStatus', 'AccountType', 'AirDrop', 'AllowSell', 'AmountInUni'] || HEADING_ANCHOR: ['BI_DB_Daily_TradeData: Regional activity for a specific instrument (Unilever, InstrumentID=2093)', 'BI_DB_EquitiesWithSustainabilityStamp: 2.1 ISIN-to-InstrumentID Resolution']"
main.etoro_kpi_prep.v_dim_instrument_enriched,precision,Decimal places for price display and rounding. From Trade.ProviderToInstrument. (Tier 1 — Trade.ProviderToInstrument) (via Dim_Instrument). Source: isn.Precisio,"SIBLING_PHRASES: ['AlertDate', 'CHECKSUM', 'DATEDIFF', 'DECIMAL', 'GETDATE', 'HAVING'] || HEADING_ANCHOR: ['BI_DB_AML_Affiliate_Abuse_Agg.review-needed: 3. Decimal Precision of %SameIP (companion table)', 'BI_DB_AML_Affiliate_Abuse_SameIP.review-needed: 1. %SameIP Decimal Precision Discrepancy']"
main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_liabilities,liabilities,"ISNULL(InProcessCashouts,0) + CASE WHEN NetEquity - BonusCredit > 0 THEN NetEquity - BonusCredit WHEN NetEquity < 0 THEN NetEquity ELSE 0 END. Source: Fact_Snap","SIBLING_PHRASES: ['AccountManager', 'ActualNWA', 'AvgInvestment', 'CIDChurn', 'CLRatio', 'COMPLETE'] || HEADING_ANCHOR: ['_index: Batch 38 (COMPLETE) -- EquitySnapshots + eTorian PnL + FCA Liabilities + F', '_index: Batch 25 (COMPLETE) -- FCA Liabilities + Finance Audit Datapoints + Cashou']"
main.etoro_kpi_prep.v_revenue_dividend,dividend,Amount WHERE ActionTypeID IN (35) AND IsFeeDividend = 2. Source: BI_DB_Fact_Customer_Action_Position_Distribution.Amount. (T2 — Function_Revenue_Dividend),"SIBLING_PHRASES: ['BuyTax', 'COMPLETE', 'DISTINCT', 'DateID', 'DividendCurrencyID', 'DividendID'] || HEADING_ANCHOR: ['_index: Batch 84 (COMPLETE) -- Crypto churn/winback panel (13 cols, 213.5M rows) +', '_index: Batch 28 (COMPLETE) -- Index Dividend TaxReport + CID-Level + InvestorsKPI']"
main.etoro_kpi_prep.tvf_pnl_single_day,netprofit,SUM(NetProfit). Source: . (T2 — Function_PnL_Single_Day),"SIBLING_PHRASES: ['ActionTypeID', 'ActionTypeIDs', 'AmountEtoro', 'BETWEEN', 'COMPLETE', 'CalculatedZero'] || HEADING_ANCHOR: ['_index: Batch 37 (COMPLETE) -- USA Equity Deposits + User Segment Snapshot + Verif', 'BI_DB_eTorian_NetProfit.review-needed: LOW: NetProfit currency assumption']"
main.etoro_kpi_prep.v_dim_instrument_enriched,name,"Display name computed by Trade.GetInstrument as BuyCurrency Abbreviation + '/' + SellCurrency Abbreviation (e.g., EUR/USD for forex, AAPL/USD for stocks). Not a","SIBLING_PHRASES: ['AccountHolderAsString', 'AccountID', 'AccountManager', 'AccountManagerID', 'AccountMgr', 'AccountName'] || HEADING_ANCHOR: ['BI_DB_Adwords_Dictionary_AdGroup: 7.3 Ad Group Performance with Name Resolution', 'BI_DB_AffiliatePayment: Tier2/Tier3 Column Name Typo']"
main.etoro_kpi_prep.v_revenue_adminfee,affiliateid,Affiliate/partner who referred this customer. DEFAULT 0. Passthrough from Fact_SnapshotCustomer at action date via SCD JOIN. (Tier 2 — DWH_dbo.Fact_SnapshotCust,"SIBLING_PHRASES: ['AccountActiv', 'AccountManager', 'AffWizID', 'AffWizz', 'AffiliateCampaign', 'AffiliateWiz'] || HEADING_ANCHOR: ['BI_DB_AffiliateCOAbuse: AffiliateID vs AffID — Expected Identical', 'BI_DB_DCM_Dashboard: 2.3 AffiliateID Extraction from Campaign Names']"
main.etoro_kpi_prep.v_revenue_commission,affiliateid,Affiliate/partner who referred this customer. DEFAULT 0. Source: Ext_FSC_Real_Customer_Customer.AffiliateID (CC). (Tier 2 - SP_Fact_SnapshotCustomer) (via Fact_,"SIBLING_PHRASES: ['AccountActiv', 'AccountManager', 'AffWizID', 'AffWizz', 'AffiliateCampaign', 'AffiliateWiz'] || HEADING_ANCHOR: ['BI_DB_AffiliateCOAbuse: AffiliateID vs AffID — Expected Identical', 'BI_DB_DCM_Dashboard: 2.3 AffiliateID Extraction from Campaign Names']"
main.etoro_kpi_prep.v_revenue_fullcommission,affiliateid,Affiliate/partner who referred this customer. DEFAULT 0. Source: Ext_FSC_Real_Customer_Customer.AffiliateID (CC). (Tier 2 - SP_Fact_SnapshotCustomer) (via Fact_,"SIBLING_PHRASES: ['AccountActiv', 'AccountManager', 'AffWizID', 'AffWizz', 'AffiliateCampaign', 'AffiliateWiz'] || HEADING_ANCHOR: ['BI_DB_AffiliateCOAbuse: AffiliateID vs AffID — Expected Identical', 'BI_DB_DCM_Dashboard: 2.3 AffiliateID Extraction from Campaign Names']"
main.etoro_kpi_prep.v_revenue_rollover,affiliateid,Affiliate/partner who referred this customer. DEFAULT 0. Passthrough from Fact_SnapshotCustomer at action date via SCD JOIN. (Tier 2 — DWH_dbo.Fact_SnapshotCust,"SIBLING_PHRASES: ['AccountActiv', 'AccountManager', 'AffWizID', 'AffWizz', 'AffiliateCampaign', 'AffiliateWiz'] || HEADING_ANCHOR: ['BI_DB_AffiliateCOAbuse: AffiliateID vs AffID — Expected Identical', 'BI_DB_DCM_Dashboard: 2.3 AffiliateID Extraction from Campaign Names']"
main.etoro_kpi_prep.v_revenue_dividend,affiliateid,Affiliate/partner who referred this customer. DEFAULT 0. Passthrough from Fact_SnapshotCustomer at action date via SCD JOIN. (Tier 2 — DWH_dbo.Fact_SnapshotCust,"SIBLING_PHRASES: ['AccountActiv', 'AccountManager', 'AffWizID', 'AffWizz', 'AffiliateCampaign', 'AffiliateWiz'] || HEADING_ANCHOR: ['BI_DB_AffiliateCOAbuse: AffiliateID vs AffID — Expected Identical', 'BI_DB_DCM_Dashboard: 2.3 AffiliateID Extraction from Campaign Names']"
main.etoro_kpi_prep.v_revenue_stakingfee,affiliateid,Affiliate/partner who referred this customer. DEFAULT 0. Source: Ext_FSC_Real_Customer_Customer.AffiliateID (CC). (Tier 2 - SP_Fact_SnapshotCustomer) (via Fact_,"SIBLING_PHRASES: ['AccountActiv', 'AccountManager', 'AffWizID', 'AffWizz', 'AffiliateCampaign', 'AffiliateWiz'] || HEADING_ANCHOR: ['BI_DB_AffiliateCOAbuse: AffiliateID vs AffID — Expected Identical', 'BI_DB_DCM_Dashboard: 2.3 AffiliateID Extraction from Campaign Names']"
main.etoro_kpi_prep.v_revenue_transfercoinfee,affiliateid,Affiliate/partner who referred this customer. DEFAULT 0. Source: Ext_FSC_Real_Customer_Customer.AffiliateID (CC). (Tier 2 - SP_Fact_SnapshotCustomer) (via Fact_,"SIBLING_PHRASES: ['AccountActiv', 'AccountManager', 'AffWizID', 'AffWizz', 'AffiliateCampaign', 'AffiliateWiz'] || HEADING_ANCHOR: ['BI_DB_AffiliateCOAbuse: AffiliateID vs AffID — Expected Identical', 'BI_DB_DCM_Dashboard: 2.3 AffiliateID Extraction from Campaign Names']"
main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_liabilities,credit,"Outstanding credit/bonus balance from History.ActiveCredit. Last credit event per CID per day (selected via ROW_NUMBER partition by CID, ordered by Occurred DES","SIBLING_PHRASES: ['ActionTypeID', 'ActualNWA', 'AvailableBalance', 'AvgInvestment', 'AvgSTD', 'BINCountry'] || HEADING_ANCHOR: ['_index: Batch 107 (COMPLETE) -- US tax credit details + social engagement + VAT tr', 'BI_CLData_AllTimeData_Optimove: 2.1 Credit Line Domain']"
main.etoro_kpi_prep.v_revenue_optionsplatform,actiontype,CASE WHEN Side = 'B' THEN 'ManualPositionOpen' WHEN Side = 'S' THEN 'ManualPositionClose' END. Source: Sodreconciliation_apex_EXT1047_RevenueReports.Side. (T2 —,"SIBLING_PHRASES: ['AccountManager', 'AccountManagerID', 'ActionDate', 'ActionDateID', 'ActionID', 'ActionType'] || HEADING_ANCHOR: ['BI_DB_EY_Audit_Cashouts: 2.1 ActionType — Transaction Classification', 'BI_DB_Futures_Finance_Prep_Data: 2.1 ActionType Classification']"
main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_liabilities,realizedequity,Customer's settled (realized) equity — the realized portion of customer balance. Excludes unrealized PnL on open positions (the unrealized component is Fact_Cus,"SIBLING_PHRASES: ['ABCModel', 'ABCModelCID', 'AccountEquity', 'AccountManager', 'ActualNWA', 'AmountToRemain'] || HEADING_ANCHOR: ['BI_DB_CID_DailyPanel_Club: 3.5 RealizedEquityClub vs RealizedEquity', 'BI_DB_ReturnCalculation_Daily_Data: 2.2 RealizedEquity Component']"
main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_liabilities,totalcash,Customer's total cash balance for the day. Computed as: previous day's TotalCash (from last row in current year) + sum of TotalCashChange from History.ActiveCre,"SIBLING_PHRASES: ['ActualNWA', 'AvgInvestment', 'BonusCredit', 'CashInCopy', 'ClosingBalanceCalculated', 'CycleCalculation'] || HEADING_ANCHOR: ['BI_DB_CashRiskMatrix: 2.4 TotalCash Source', 'BI_DB_CashRiskMatrix.review-needed: 1. TotalCash AVG Aggregation Semantics']"
main.etoro_kpi_prep.v_trading_volume_and_amount,issettled,GROUP BY. Source: DWH_dbo.Dim_Position.IsSettled. (T1 — Function_Trading_Volume),"SIBLING_PHRASES: ['AccountStatus', 'AccountType', 'ActionTypeID', 'ActiveCustomers', 'ActiveOpenCFD', 'AmountBugFix'] || HEADING_ANCHOR: ['BI_DB_CashRiskMatrix.review-needed: 6. IsSettled=0 — Futures Exclusion Unclear', 'BI_DB_CreditRiskMatrix: 2.4 IsSettled Flag']"
main.etoro_kpi_prep.v_trading_volume_positionlevel,issettled,"1 = real asset, 0 = CFD asset. (Tier 5 — Expert Review) (via Dim_Position). Source: DWH_dbo.Dim_Position.IsSettled. (T1 — Function_Trading_Volume_PositionLevel)","SIBLING_PHRASES: ['AccountStatus', 'AccountType', 'ActionTypeID', 'ActiveCustomers', 'ActiveOpenCFD', 'AmountBugFix'] || HEADING_ANCHOR: ['BI_DB_CashRiskMatrix.review-needed: 6. IsSettled=0 — Futures Exclusion Unclear', 'BI_DB_CreditRiskMatrix: 2.4 IsSettled Flag']"
main.etoro_kpi_prep.v_revenue_optionsplatform,issettled,1. Source: —. (T2 — Function_Revenue_OptionsPlatform),"SIBLING_PHRASES: ['AccountStatus', 'AccountType', 'ActionTypeID', 'ActiveCustomers', 'ActiveOpenCFD', 'AmountBugFix'] || HEADING_ANCHOR: ['BI_DB_CashRiskMatrix.review-needed: 6. IsSettled=0 — Futures Exclusion Unclear', 'BI_DB_CreditRiskMatrix: 2.4 IsSettled Flag']"
main.etoro_kpi_prep.v_revenue_optionsplatform,updatedate,GETDATE(). Source: —. (T2 — Function_Revenue_OptionsPlatform),"SIBLING_PHRASES: ['AccountId', 'AccountManagerID', 'AccountType', 'ActionNumber', 'ActionType', 'ActionTypeID'] || HEADING_ANCHOR: ['BI_DB_AffiliatePayment: UpdateDate Uses getUTCdate() (Not GETDATE())', 'BI_DB_Affiliate_Guidlines_Report: UpdateDate Type Mismatch']"
